pitch,angle,speed,spin,run,frame,src_frame,total,spread,meanSignal,fovea_total,mid_total,far_total,delta_total,corr_prev,PC1,PC2,PC3,PC4,PC5
cb,0deg,speed+3,spin+500,run36,28,40,607187.876778957,177.894651720222,158.866529769481,190.107674838781,0,606997.769104118,462.91171509854,0.999942266917448,-3368.86248735759,-1286.15577810317,-538.636817120366,-294.938250907951,-32.4987815753619
cb,0deg,speed+3,spin+500,run36,29,42,608192.053510413,177.646287087482,159.129265701312,190.360065185484,0,608001.693445228,1004.17673145572,0.999733783184912,-3341.0960277919,-1208.3284211265,-447.654148980513,-213.227990423939,57.0272992200705
cb,0deg,speed+3,spin+500,run36,30,43,608771.480424576,177.519912110894,159.280868766242,190.507630146977,0,608580.972794429,579.426914162817,0.99992228110007,-3325.01398255789,-1164.81995346929,-397.49464781261,-167.916157029084,105.739793243761
cb,0deg,speed+3,spin+500,run36,31,45,610042.49801526,177.26564966144,159.6134217727,190.818146653774,0,609851.679868606,1271.01759068388,0.999644284141229,-3288.42302780151,-1067.90918922534,-288.825095926161,-68.6499705476083,210.672648219938
cb,0deg,speed+3,spin+500,run36,32,46,610700.688133103,177.137168207536,159.785632687887,190.979980187556,0,610509.708152915,658.190117842983,0.999901457409055,-3267.96349895365,-1015.35569620464,-231.083523833437,-15.9760911703088,266.372256742196
cb,0deg,speed+3,spin+500,run36,33,48,611987.76741342,176.849978136322,160.122388124914,191.315896661234,0,611796.451516759,1287.07928031788,0.999579816182948,-3222.15261763254,-903.193463743427,-110.366109434451,95.3885538438659,379.339639900896
cb,0deg,speed+3,spin+500,run36,34,49,612719.001135754,176.698465114159,160.313710396587,191.515134506903,0,612527.486001247,731.233722333214,0.999873819874949,-3195.37421313165,-841.201781891056,-43.5613832299533,156.642546369195,439.516275444086
cb,0deg,speed+3,spin+500,run36,35,50,613494.858367618,176.536588989846,160.516708102464,191.745386487536,0,613303.112981131,775.857231864473,0.999861135804065,-3166.1553903684,-775.600280705038,27.3667410074164,220.537933659457,501.436892700232
cb,0deg,speed+3,spin+500,run36,36,52,615197.950862909,176.201162707255,160.962310534513,192.250839827997,0,615005.700023081,1703.09249529103,0.999368540322746,-3100.22294202273,-630.35940011617,178.819319466549,357.575889225183,628.652873054762
cb,0deg,speed+3,spin+500,run36,37,53,616078.184752348,176.023874829306,161.192617674607,192.506656134283,0,615885.678096214,880.233889439027,0.999823525646857,-3063.51202664364,-551.620753712296,258.581237318616,428.891793526697,693.641443784252
cb,0deg,speed+3,spin+500,run36,38,55,617787.68490279,175.614269023015,161.639896625534,193.018464449285,0,617594.666438341,1709.50015044201,0.999231605950592,-2981.84368960814,-383.753093663164,424.347066292998,576.476969138213,820.216568865775
cb,0deg,speed+3,spin+500,run36,39,56,618775.406631962,175.404762017501,161.898327219247,193.32050372347,0,618582.086128239,987.721729172161,0.999774453049386,-2935.57382369104,-292.433620357172,513.700441332226,653.939338328502,883.138125637528
cb,0deg,speed+3,spin+500,run36,40,58,620834.58182954,174.952151762041,162.437096240068,193.994276064645,0,620640.587553475,2059.17519757757,0.998975541433492,-2832.18427468696,-92.9837857596594,701.758814776988,814.455962140383,1005.36242437332
cb,0deg,speed+3,spin+500,run36,41,59,621875.112045533,174.709636832265,162.709343810972,194.357092156247,0,621680.754953377,1040.53021599352,0.999713040708918,-2775.36906641436,13.0452891012572,797.977238522158,894.61729216934,1062.71042163701
cb,0deg,speed+3,spin+500,run36,42,61,624205.88392997,174.232505493201,163.319174235994,195.206268855374,0,624010.677661115,2330.77188443695,0.998685188215851,-2648.77388873359,240.953976905307,1000.31755303168,1057.47941004366,1165.05694974095
cb,0deg,speed+3,spin+500,run36,43,62,625455.864604958,173.989057047283,163.64622307822,195.670685496168,0,625260.193919462,1249.98067498789,0.999631567329948,-2579.52586942624,362.996860352856,1104.34220713962,1137.92002043791,1208.28970939491
cb,0deg,speed+3,spin+500,run36,44,64,628066.654698717,173.449785782933,164.329318340847,196.645251329179,0,627870.009447388,2610.79009375884,0.998409798684205,-2428.93590387448,619.211555462357,1312.61515997247,1290.93763687721,1271.74757845593
cb,0deg,speed+3,spin+500,run36,45,65,629491.81995784,173.160586820998,164.702203024029,197.215456597572,0,629294.604501242,1425.16525912262,0.999538923885091,-2345.45892909019,756.918270126589,1419.91640969346,1364.11564618918,1291.45370750125
cb,0deg,speed+3,spin+500,run36,46,67,632490.122429202,172.504665160895,165.4866882337,198.531747819175,0,632291.590681383,2998.30247136217,0.997930684421327,-2162.14227690014,1048.33493368368,1632.95286706857,1496.18320108482,1298.18864343821
cb,0deg,speed+3,spin+500,run36,47,68,634091.988566225,172.157387296384,165.905805485668,199.325020838977,0,633892.663545386,1601.86613702273,0.999397808659184,-2061.54034251247,1202.45352896079,1739.38923070406,1552.9890503621,1283.78828331287
cb,0deg,speed+3,spin+500,run36,48,69,635753.71058926,171.798111507837,166.340583618331,200.197804000828,0,635553.512785259,1661.72202303552,0.999341864415486,-1953.85634422456,1362.88729877251,1845.33266738225,1602.07482306777,1257.00599241435
cb,0deg,speed+3,spin+500,run36,49,71,639204.239856463,171.018268205057,167.243390857264,202.160114139403,0,639002.079742324,3450.52926720318,0.99706214982842,-1716.22435397468,1698.69135159666,2050.66074649944,1668.45674042852,1159.81351950569
cb,0deg,speed+3,spin+500,run36,50,72,641098.678844519,170.61079478479,167.739057782449,203.325004246511,0,640895.353840273,1894.43898805557,0.999148717746782,-1584.71896555371,1875.01181427503,2150.79995082648,1682.45060215406,1089.24064848666
cb,0deg,speed+3,spin+500,run36,51,74,645344.68119192,169.746752282323,168.849995078995,206.227165506378,0,645138.454026414,4246.00234740111,0.996111531925336,-1291.55414333199,2243.73134862115,2341.42279401627,1663.6978767848,900.882053090265
cb,0deg,speed+3,spin+500,run36,52,75,647725.210760396,169.311546657382,169.472844259653,207.972933729127,0,647517.237826666,2380.52956847544,0.998832652462618,-1128.12644448949,2436.97097689374,2431.19097332941,1628.65614856402,784.015421911174
cb,0deg,speed+3,spin+500,run36,53,77,653055.68185337,168.469501632713,170.867525341018,212.466718544866,0,652843.215134825,5330.47109297453,0.994726573084044,-765.502310797317,2839.614039983,2589.45482711315,1501.22564330887,502.847710912067
cb,0deg,speed+3,spin+500,run36,54,78,655872.808075124,168.034270189739,171.604607031691,215.506618521969,0,655657.301456602,2817.12622175354,0.998455796418,-568.757150030391,3046.72683578902,2649.73766489307,1409.75484178525,337.340289740581
cb,0deg,speed+3,spin+500,run36,55,80,661872.851442373,167.130020187056,173.174477091149,223.983355775083,0,661648.868086598,6000.04336724908,0.993256220359808,-150.649960605526,3473.34229416224,2717.32226592686,1180.4685348712,-44.0967169315685
cb,0deg,speed+3,spin+500,run36,56,81,665140.207642304,166.616734870143,174.029358357484,230.712648763934,0,664909.49499354,3267.356199931,0.99802497241191,72.0391762763842,3693.58115328423,2717.05026688601,1044.50186609796,-262.015311482108
cb,0deg,speed+3,spin+500,run36,57,83,671825.447115176,164.818199972755,175.778505262997,285.962584842868,0,671539.484530333,6685.23947287269,0.9903544641255,590.951523873948,4170.1072902957,2616.49220461859,693.124414672674,-767.272667966283
cb,0deg,speed+3,spin+500,run36,58,84,676816.265114722,163.805451575962,177.084318449692,373.446243507054,0,676442.818871215,4990.81799954572,0.996370926878694,918.106997535636,4440.39011378382,2508.15300227585,450.835906227844,-1050.97597809807
cb,0deg,speed+3,spin+500,run36,59,85,682532.154941516,162.897740011993,178.579841690611,519.342206977775,0,682012.812734538,5715.88982679381,0.995324365459767,1289.36403788432,4719.28170990987,2351.12853812255,156.529018744531,-1337.51890599439
cb,0deg,speed+3,spin+500,run36,60,87,695807.561342631,162.097177548796,182.05326042455,903.239273233125,0,694904.322069398,13275.406401115,0.982188261926337,2044.91141929354,5205.20374772848,1954.14170497321,-451.519443946189,-1770.22024232529
cb,0deg,speed+3,spin+500,run36,61,88,701325.042575692,161.288686795741,183.496871422211,1090.13782029152,0,700234.9047554,5517.48123306117,0.995677149659277,2396.84578028039,5380.57925161416,1717.73632777673,-730.131185245638,-1876.16014055818
cb,0deg,speed+3,spin+500,run36,62,90,713722.970674839,159.50585335607,186.740703996556,1485.70918977063,0,712237.261485068,12397.9280991466,0.980676439984664,3163.29652814589,5663.85601793563,1119.69840619204,-1293.58783738918,-1904.69700112957
cb,0deg,speed+3,spin+500,run36,63,91,720926.160414951,158.634493256967,188.625369025367,1703.66725116417,0,719222.493163787,7203.18974011252,0.993880558347161,3579.17366755615,5756.41740932564,750.251913313803,-1569.9232108594,-1812.00665142695
cb,0deg,speed+3,spin+500,run36,64,93,738486.340349196,157.272463821366,193.219869269805,2204.21265935268,0,736282.127689843,17560.1799342445,0.972228024999027,4466.97467831386,5772.92902208815,-169.278103507875,-2104.76643761053,-1396.44543191464
cb,0deg,speed+3,spin+500,run36,65,94,749718.254063004,156.80264967896,196.158622203821,2498.4382933813,0,747219.815769623,11231.9137138084,0.990724352475856,4925.57203143825,5666.18541666867,-735.919430654906,-2353.69443193626,-1059.99569724481
cb,0deg,speed+3,spin+500,run36,66,96,779659.871203842,157.300409478923,203.992640294045,3159.22559165835,0,776500.645612183,29941.6171408378,0.955952026083072,5827.37425353641,5193.2322734435,-2068.50293163742,-2692.45472014778,-101.160865806685
cb,0deg,speed+3,spin+500,run36,67,97,797554.160220321,157.969464234767,208.674557880775,3528.18208443099,0,794025.97813589,17894.2890164793,0.984833744076359,6249.41147728214,4827.12867987055,-2796.27946151397,-2668.67398231718,516.273191319782
cb,0deg,speed+3,spin+500,run36,68,99,834888.310440581,157.872277379289,218.442781381628,4267.90682020734,0,830620.403620373,37334.1502202596,0.936923888812619,7002.33964290565,3852.23319626102,-4184.71298486221,-1924.95348174404,1752.90320851026
cb,0deg,speed+3,spin+500,run36,69,100,856025.580781341,157.209354821731,223.973202716206,4607.30894462773,0,851418.271836713,21137.27034076,0.976148934589188,7377.38247195431,3214.77912824171,-4751.70345322157,-1159.43723564248,2245.88668270902
cb,0deg,speed+3,spin+500,run36,70,101,880367.102737558,157.584357516819,230.341994436828,4826.18949689444,0,875540.913240664,24341.5219562176,0.971898066335948,7764.29602666087,2476.92007673441,-5159.30099067121,-163.859278713685,2531.15078744377
cb,0deg,speed+3,spin+500,run36,71,103,937042.151834971,160.606891335422,245.170631040024,4980.56136814629,0,932061.590466824,56675.0490974123,0.888521502785664,8594.66666936062,752.323012169863,-5285.83173846013,2205.46285236716,2130.70913382927
cb,0deg,speed+3,spin+500,run36,72,104,965691.723636735,160.839478401034,252.66659435812,5125.46872641383,0,960566.254910322,28649.5718017649,0.963330970154927,8978.93258472922,-205.783214718783,-4948.23085108539,3280.87764130916,1260.07465229709
